中文名,外文名,QS
纽约市立大学纽约市立技术学院,"The City University of New York, New York City College of Technology",
纽约市立大学皇后学院,"The City University of New York, Queens College",
西雅图城市大学,City University of Seattle,
米兰克劳迪奥•阿巴多市立音乐学院,Civica Scuola di Musica “Claudio Abbado” – Milano,
克莱蒙麦肯纳学院,Claremont McKenna College,
克莱蒙神学院,Claremont School of Theology,
宾夕法尼亚克拉里恩大学,Clarion University of Pennsylvania,
克拉克亚特兰大大学,Clark Atlanta University,
克拉克学院,Clark College,
克拉克大学,Clark University,951-1000
经典私立大学,Classic Private University,
克莱顿州立大学,Clayton State University,
克利夫兰艺术学院,Cleveland Institute of Art,
克利夫兰音乐学院,Cleveland Institute of Music,
克洛弗帕克技术学院,Clover Park Technical College,
本德海岸学院,Coastal Bend College,
卡罗莱纳海岸大学,Coastal Carolina University,
海岸线学院,Coastline College,
科钦科技大学,Cochin University of Science and Technology,
科达艺术大学,"Codarts, University of the Arts",
柯伊学院,Coe College,
考克大学,Coker University,
科本学院,The Colburn School,
科比学院,Colby College,
科比索亚学院,Colby-Sawyer College,
冷泉港实验室,Cold Spring Harbor Laboratory,
达古潘学院,Colegio de Dagupan,
罗萨里奥圣母学院,Colegio Mayor de Nuestra Señora del Rosario,
科尔盖特大学,Colgate University,
农业、科学与教育学院,"College of Agriculture, Science and Education",
峡谷学院,College of the Canyons,
中佛罗里达学院,College of Central Florida,
查尔斯顿学院,The College of Charleston,
巴黎学院,Collège de Paris,
沙漠学院,College of the Desert,
欧洲学院,College of Europe,
创意研究学院,College for Creative Studies,
圣十字学院,College of the Holy Cross,
爱达荷学院,The College of Idaho,
三军防务学院,Collège Interarmées de Défense,
共同希望语言学院,The College of Language Harapan Bersama,
法学院,The College of Law,
新喀里多尼亚学院,College of New Caledonia,
新泽西学院,The College of New Jersey,
北大西洋学院,College of the North Atlantic,
埃尔姆斯女子学院,College of Our Lady of the Elms,
欧扎克斯学院,College of the Ozarks,
佩奇·列坡萨维奇高等经济专业研究学院,College of Professional Studies of Economy Peć,
圣贝尼迪克学院,College of Saint Benedict,
圣斯科勒斯蒂卡学院,The College of Saint Scholastica,
圣马泰奥学院,College of San Mateo,
南内华达学院,College of Southern Nevada,
旅游与酒店管理学院,College of Tourism and Hotel Management,
威廉玛丽学院,The College of William and Mary,
伍斯特学院,The College of Wooster,
西维塔斯学院,Collegium Civitas,
考林县社区学院,Collin County Community College District,
科罗拉多中医药大学,Colorado Chinese Medicine University,
科罗拉多基督大学,Colorado Christian University,
科罗拉多学院,Colorado College,
科罗拉多梅萨大学,Colorado Mesa University,
科罗拉多州立大学普韦布洛分校,Colorado State University-Pueblo,
科罗拉多理工大学,Colorado Technical University,
哥伦比亚学院（加利福尼亚州）,Columbia College,
哥伦比亚学院（密苏里州）,Columbia College,
哥伦比亚学院（南卡罗莱纳州）,Columbia College,
芝加哥哥伦比亚学院,Columbia College Chicago,
哥伦比亚国际大学,Columbia International University,
哥伦布艺术与设计学院,Columbus College of Art and Design,
哥伦布州立社区学院,Columbus State Community College,
哥伦布州立大学,Columbus State University,
宾夕法尼亚联邦大学,Commonwealth University of Pennsylvania,
费城社区学院,Community College of Philadelphia,
索邦设计和工艺高等院校大学联合体,COMUE Hautes Ecoles Sorbonne Arts et Métiers Université (HESAM Université),
诺曼底大学联盟,Comue Normandie Université,
蔚蓝海岸大学联合体,COMUE Université Côte d’Azur,
康考迪亚学院 （明尼苏达州）,Concordia College,
康考迪亚大学（内布拉斯加州）,Concordia University,
康考迪亚大学（威斯康星州）,Concordia University,
康考迪亚大学芝加哥分校,Concordia University Chicago,
埃德蒙顿康考迪亚大学,Concordia University of Edmonton,
康考迪亚大学尔湾分校,Concordia University Irvine,
康考迪亚大学圣保罗分校,"Concordia University, St. Paul",
康考迪亚大学德克萨斯分校,Concordia University Texas,
康奈斯托加学院,Conestoga College Institute of Technology and Advanced Learning,
联邦应用艺术与技术学院,Confederation College of Applied Arts and Technology,
康涅狄格学院,Connecticut College,
魁北克音乐与戏剧艺术学院,Conservatoire de musique et d'art dramatique du Québec,
巴黎国立高等音乐与舞蹈学院,Conservatoire National Supérieur de Musique et de Danse de Paris,
里昂国立高等音乐与舞蹈学院,Conservatoire National Supérieur Musique et Danse de Lyon,
布鲁塞尔皇家音乐学院,Conservatoire royal de Bruxelles,
列日皇家音乐学院,Conservatoire royal de Liège,
布鲁诺·马代尔纳-嘉·雷迪米音乐学院,"Conservatorio di Musica ""B.Maderna - G.Lettimi"" (sedi a Cesena ed a Rimini)",
坎波巴索音乐学院,"Conservatorio di Musica di CAMPOBASSO ""Lorenzo Perosi""",
卡斯特弗朗科维内托音乐学院,"Conservatorio di Musica di CASTELFRANCO VENETO ""Agostino Steffani""",
拉蒂纳音乐学院,"Conservatorio di Musica di LATINA ""Ottorino Respighi""",
巴勒莫音乐学院,"Conservatorio di Musica di PALERMO ""Vincenzo Bellini""",
萨萨里音乐学院,"Conservatorio di Musica di SASSARI ""Luigi Canepa""",
卡利亚里音乐学院,"Conservatorio di musica statale di Cagliari ""Pierluigi da Palestrina""",
阿德里亚音乐学院,"Conservatorio statale di musica di Adria (RO) ""Antonio Buzzolla""",
亚历山德里亚音乐学院,"Conservatorio statale di musica di Alessandria ""Antonio Vivaldi""",
阿韦利诺音乐学院,"Conservatorio statale di musica di Avellino ""Domenico Cimarosa""",
巴里音乐学院,"Conservatorio statale di musica di Bari ""Niccolò Piccinni""",
贝内文托音乐学院,"Conservatorio statale di musica di Benevento ""Nicola Sala""",
博洛尼亚音乐学院,"Conservatorio statale di musica di Bologna ""Giovan Battista Martini""",
布雷西亚音乐学院,"Conservatorio statale di musica di Brescia ""Luca Marenzio"" ",
科莫威尔第音乐学院,"Conservatorio statale di musica di Como ""Giuseppe Verdi""",
科森扎音乐学院,"Conservatorio statale di musica di Cosenza ""Stanislao Giacomantonio”",
库内奥音乐学院,"Conservatorio statale di musica di Cuneo ""Giorgio Federico Ghedini""",
费尔莫音乐学院,"Conservatorio statale di musica di Fermo ""Giovambattista Pergolesi""",
费拉拉音乐学院,"Conservatorio statale di musica di Ferrara ""Girolamo Frescobaldi""",
佛罗伦萨音乐学院,"Conservatorio statale di musica di Firenze ""Luigi Cherubini""",
福贾音乐学院,"Conservatorio statale di musica di Foggia ""Umberto Giordano""",
弗罗西诺内音乐学院,"Conservatorio statale di musica di Frosinone ""Licinio Refice""",
加拉拉泰音乐学院,Conservatorio statale di musica di Gallarate (VA) “Giacomo Puccini”,
热那亚音乐学院,"Conservatorio statale di musica di Genova ""Nicolò Paganini""",
拉奎拉音乐学院,"Conservatorio Statale di Musica di L'AQUILA ""Alfredo Casella""",
拉斯佩齐亚音乐学院,"Conservatorio statale di musica di La Spezia ""Giacomo Puccini""",
莱切音乐学院,"Conservatorio statale di musica di Lecce ""Tito Schipa""",
卢卡音乐学院,Conservatorio statale di musica di Lucca “Luigi Boccherini”,
曼托瓦音乐学院,"Conservatorio statale di musica di Mantova ""Lucio Campiani""",
墨西拿音乐学院,"Conservatorio statale di musica di Messina ""Arcangelo Corelli""",
米兰音乐学院,"Conservatorio statale di musica di Milano ""Giuseppe Verdi""",
莫诺波利音乐学院,"Conservatorio statale di musica di Monopoli (BA) ""Nino Rota""",
那不勒斯音乐学院,"Conservatorio statale di musica di Napoli ""S. Pietro a Majella""",
诺瓦拉音乐学院,"Conservatorio statale di musica di Novara ""Guido Cantelli""",
帕多瓦音乐学院,"Conservatorio statale di musica di Padova ""Cesare Pollini""",
帕尔马音乐学院,"Conservatorio statale di musica di Parma ""Arrigo Boito""",
帕维亚音乐学院,"Conservatorio statale di musica di Pavia ""Franco Vittadini""",
佩鲁贾音乐学院,"Conservatorio statale di musica di Perugia ""Francesco Morlacchi""",
佩扎罗音乐学院,"Conservatorio statale di musica di Pesaro ""Gioachino Rossini""",
佩斯卡拉音乐学院,"Conservatorio statale di musica di Pescara ""Luisa d'Annunzio""",
皮亚琴察音乐学院,"Conservatorio statale di musica di Piacenza ""Giuseppe Nicolini""",
波坦察音乐学院,"Conservatorio statale di Musica di POTENZA ""Gesualdo da Venosa""",
雷焦卡拉布利亚音乐学院,"Conservatorio statale di musica di Reggio Calabria ""Francesco Cilea""",
雷焦艾米利亚卡斯特诺沃内蒙迪音乐学院,Conservatorio statale di musica di Reggio Emilia e Castelnuovo né Monti “Achille Peri e Claudio Merulo”,
利贝拉音乐学院,Conservatorio statale di musica di Ribera (AG) “Arturo Toscanini”,
罗马音乐学院,"Conservatorio statale di musica di Roma ""Santa Cecilia""",
罗维戈音乐学院,"Conservatorio statale di musica di Rovigo ""Francesco Venezze""",
萨勒诺音乐学院,"Conservatorio statale di musica di Salerno ""Giuseppe Martucci""",
锡耶纳音乐学院,"Conservatorio statale di musica di Siena ""Rinaldo Franci""",
塔兰托音乐学院,Conservatorio statale di musica di Taranto “Giovanni Paisiello”,
特拉莫音乐学院,Conservatorio statale di musica di Teramo “Gaetano Braga”,
都灵音乐学院,"Conservatorio statale di musica di Torino ""Giuseppe Verdi""",
特拉帕尼音乐学院,"Conservatorio statale di musica di Trapani ""Antonio Scontrino""",
特伦托音乐学院,"Conservatorio statale di musica di Trento ""Francesco Antonio Bonporti""",
的里雅斯特音乐学院,"Conservatorio statale di musica di Trieste ""Giuseppe Tartini""",
乌迪内音乐学院,"Conservatorio statale di Musica di UDINE ""Jacopo Tomadini""",
威尼斯音乐学院,"Conservatorio statale di musica di Venezia ""Benedetto Marcello""",
维罗纳音乐学院,"Conservatorio statale di musica di Verona ""Evaristo Felice Dall'Abaco""",
韦伯瓦伦蒂亚音乐学院,"Conservatorio statale di musica di VIBO VALENTIA ""Fausto Torrefranca""",
维琴察音乐学院,"Conservatorio statale di musica di Vicenza ""Arrigo Pedrollo""",
波尔扎诺音乐学院,"Conservatorio statale di musica/Hochschule für musik di Bolzano/Bozen ""Claudio Monteverdi""",
康斯特大学,Constructor University,
孔特拉科斯塔学院,Contra Costa College,
康沃斯学院,Converse College,
康沃斯大学,Converse University,
库伯高级科学艺术联合学院,Cooper Union for the Advancement of Science and Art,
哥本哈根商业学院,Copenhagen Business Academy,
哥本哈根设计与技术学院,The Copenhagen School of Design and Technology,
铜石大学,Copperstone University,
高贵林学院,Coquitlam College,
康奈尔学院,Cornell College,
基石学院,Cornerstone Institute,
基石大学,Cornerstone University,
哥伦比亚Colegiatura学院,Corporación Colegiatura Colombiana,
米诺托·德·迪奥斯大学学院,Corporación Universitaria Minuto de Dios,
布达佩斯考文纽斯大学,Corvinus University of Budapest,
寇提学院,Cottey College,
莫里斯郡学院,County College of Morris,
伦敦大学考陶德艺术学院,"Courtauld Institute of Art, University of London",
卡文南特学院,Covenant College,
科文纳特大学,Covenant University,
克兰布鲁克艺术学院,Cranbrook Academy of Art,
克兰德尔大学,Crandall University,
克兰菲尔德学院,Cranefield College,
规划与设计创意、创造研究学院,"CREAD: Institut Création, Réalisation, Etude en Aménagement et Design",
CREAPOLE创意管理学院,CREAPOLE Ecole de Création Management,
皇冠学院,Crown Institute of Studies,
美国烹饪学院,The Culinary Institute of America,
CUNEF大学,CUNEF Universidad,
库利学院,Curry College,
科廷学院,Curtin College,
科蒂斯音乐学院,Curtis Institute of Music,
卡廷顿大学,Cuttington University,
卡塞尔CVJM应用技术大学,CVJM-Hochschule Kassel,
塞吉巴黎大学理工学院,"CY Cergy Paris Université, CY Tech",
塞浦路斯学院,Cyprus College,
塞浦路斯国际管理学院,Cyprus International Institute of Management,
德尤维尔大学,D'Youville University,
达科他卫斯理大学,Dakota Wesleyan University,
达拉那大学学院,Dalarna University College,
达拉斯浸会大学,Dallas Baptist University,
达拉斯学院,Dallas College,
达拉斯国际大学,Dallas International University,
达拉斯神学院,Dallas Theological Seminary,
道尔顿州立大学,Dalton State College,
大马士革大学,Damascus University,1201-1400
戴美琳学院,Damelin,
达内什·阿尔布尔兹大学,Danesh Alborz University,
丹麦国家音乐学院,Danish National Academy of Music,
利沃夫国立医科大学,Danylo Halytsky Lviv National Medical University,
道家传统中医学院,Daoist Traditions College of Chinese Medical Arts,
达文波特大学,Davenport University,
大卫利普斯科姆大学,David Lipscomb University,
戴维森学院,Davidson College,
戴维斯和埃尔金斯学院,Davis and Elkins College,
戴维斯学院,Davis College,
达瓦特大学,Dawat University,
达伍德工程与技术大学,Dawood University of Engineering and Technology,
道森学院,Dawson College,
达阿尔巴格教育学院,Dayalbagh Educational Institute,
达亚南达萨格尔大学,Dayananda Sagar University,
代托纳州立学院,Daytona State College,
布勒学院,DDLM L'Ecole Bleue,
德安萨学院,De Anza College,
德拉萨阿拉内塔大学,De La Salle Araneta University,
德拉萨圣贝尼尔德学院,De La Salle-College of Saint Benilde,
德拉萨医学健康科学学院,De La Salle Medical and Health Sciences Institute,
德拉萨大学,De La Salle University,751-760
德拉萨大学达斯马瑞纳斯校区,De La Salle University-Dasmarinas,
迪恩学院,Dean College,
德卜勒伯汉大学,Debre Berhan University,
迪恩达亚尔乌巴特亚耶戈勒克布尔大学,Deen Dayal Upadhyay Gorakhpur University,
普纳高级技术国防学院,"Defence Institute of Advanced Technology, Pune",
特拉华州立大学,Delaware State University,
特拉华社区技术学院,Delaware Technical Community College,
特拉华谷大学,Delaware Valley University,
三角洲州立大学,Delta State University,
德尔塔科学与技术大学,Delta University for Science and Technology,1201-1400
丹尼森大学,Denison University,
丹佛神学院,Denver Seminary,
迪堡大学,DePauw University,
得梅因地区社区学院,Des Moines Area Community College,
德萨尔斯大学,DeSales University,
埃因霍芬设计学院,Design Academy Eindhoven,
圣地亚哥设计研究所,Design Institute of San Diego,
南特-大西洋设计学院,DESIGN Nantes: Ecole de Design de Nantes-Atlantique,
科灵设计学院,Design School Kolding,
科隆德国体育学院,Deutsche Sporthochschule Köln,
阿希尔亚女神大学,Devi Ahilya Vishwavidyalaya,
纽约德锐学院,DeVry College of New York,
德锐大学,DeVry University,
吞武里皇家大学,Dhonburi Rajabhat University,
博仁大学,Dhurakij Pundit University,
迪亚波罗谷学院,Diablo Valley College,
迪亚科尼亚应用科学大学,Diaconia University of Applied Sciences,
迪金森学院,Dickinson College,
迪金森州立大学,Dickinson State University,
迪吉彭理工学院,DigiPen Institute of Technology,
迪拉大学,Dilla University,
迪拉徳大学,Dillard University,
北黑森应用技术大学,DIPLOMA Hochschule-Private Fachhochschule Nordhessen,
越南外交学院,Diplomatic Academy of Vietnam,
立达学院,Disted College,
德累斯顿国际大学,DIU-Dresden International University GmbH,
卡拉潘神语学院,Divine Word College of Calapan,
第聂伯理工大学,Dnipro University of Technology,
多恩大学,Doane University,
多哈研究生院,Doha Institute for Graduate Studies,
弗罗茨瓦夫下西里西亚大学,Dolnośląska Szkoła Wyższa z siedzibą we Wrocławiu,
多米尼肯大学,Dominican University,
加利福尼亚多米尼克大学,Dominican University of California,
唐马里亚诺马科斯纪念国立大学,Don Mariano Marcos Memorial State University,
唐马里亚诺马科斯纪念国立大学南拉乌尼翁校区,Don Mariano Marcos Memorial State University - South La Union Campus,
顿巴斯国立工程学院,Donbass State Engineering Academy,
顿巴斯国立师范大学,Donbass State Pedagogical University,
顿涅茨克国立技术大学,Donetsk National Technical University,
顿涅茨克国立大学,Donetsk National University,
顿涅茨克国立经济与贸易大学,Donetsk National University of Economics and Trade named after Mykhailo Tugan-Baranovsky,
道格拉斯学院,Douglas College,
土库曼国立世界语言学院,Dovletmammet Azadi Turkmen National Institute of World Languages,
A.P.J.阿卜杜尔卡拉姆博士科技大学,Dr. A.P.J. Abdul Kalam Technical University,
巴巴萨赫布安贝德卡尔默拉特瓦拉博士大学,Dr. Babasaheb Ambedkar Marathwada University,
阿格拉毗姆劳安贝德卡尔博士大学,"Dr.Bhimrao Ambedkar University, Agra",
C.V.拉曼博士大学,Dr. C.V.Raman University,
哈里辛格高尔博士大学,Dr. Harisingh Gour Vishwavidyalaya,
拉姆马诺洛西亚阿瓦德博士土邦大学,Dr. Ram Manohar Lohia Awadh University,
乌克兰国立大学,Dragomanov Ukrainian State University,
德雷克大学,Drake University,
马来西亚DRB-HICOM汽车大学,DRB-HICOM University of Automotive Malaysia,
德鲁大学,Drew University,
德鲁里大学,Drury University,
巴登符腾堡双元制应用技术大学,Duale Hochschule Baden-Württemberg,
邓莱里文艺理工学院,"Dun Laoghaire Institute of Art, Design and Technology",
多瑙新城大学,Dunaújvárosi Egyetem,
邓多克理工学院,Dundalk Institute of Technology,
敦亚大学,Dunya University,
德汉姆应用艺术与技术学院,Durham College of Applied Arts and Technology,
E-artsup创意设计学院,E-artsup: Ecole de la Passion Créative,
EA西南商业学院,EA Business Academy SouthWest,
南锡建筑学院,EAN: Ecole d'Architecture de Nancy,
厄勒姆学院,Earlham College,
东中部大学,East Central University,
东洛杉矶学院,East Los Angeles College,
东斯特劳斯堡大学,East Stroudsburg University,
东德克萨斯农工大学,East Texas A&M University,
东德克萨斯浸信会大学,East Texas Baptist University,
东西大学,East-West University,
东康涅狄格州立大学,Eastern Connecticut State University,
东伊利诺伊大学,Eastern Illinois University,
东部理工学院,Eastern Institute of Technology,
东肯塔基大学,Eastern Kentucky University,
东门诺大学,Eastern Mennonite University,
东密歇根大学,Eastern Michigan University,
东新墨西哥大学,Eastern New Mexico University,
东俄勒冈大学,Eastern Oregon University,
东部大学,Eastern University,
东方管理科技大学,The Eastern University of Management and Technology,
东华盛顿大学,Eastern Washington University,
欧洲管理学院,EBS Paris: European Business School（Ecole Européenne de Management）,
EBS经济与法律大学,EBS Universität für Wirtschaft und Recht,
马赛中央理工学院,EC Marseille: Ecole Centrale de Marseille,
ECAD咨询学院,ECAD CONSULTANTS,
电力、生产与工业方法学院,"ECAM-EPMI: Ecole d'électricité, de production et des méthodes industrielles",
ECAM拉萨尔工程师学院,ECAM LaSalle,
ECC国际外语专门学校,ECC国際外語専門学校,
ECC计算机专门学校,ECCコンピュータ専門学校,
ECE欧洲商业学院,ECE: Ecole de Commerce Européenne,
埃克德学院,Eckerd College,
埃克学院,Eckerd College,
南特中央理工学院,ECN: Ecole Centrale de Nantes,
里昂天主教工艺学院,Ecole Catholique d'Arts et Métiers de Lyon,
中央电子学院,Ecole Centrale d'Electronique,
艺术与制造中央学院,Ecole Centrale des Arts et Manufactures,
巴黎拉维莱特建筑学院,Ecole d'Architcecture de Paris La Villette,
巴黎塞纳河谷建筑学院,Ecole d'Architecture de Paris-Val de Seine,
图卢兹高等美术与表演学院,Ecole d'Enseignement Supérieur des Beaux-Arts et du Spectacle Vivant de Toulouse,
普尔潘工程师学院,Ecole d'Ingéineurs de Purpan,
SIGMA克莱蒙工程师学院,Ecole d'Ingénieur SIGMA Clermont,
卡昂大学工程师学院,Ecole d'Ingénieurs de l'Université de Caen,
巴黎第七大学工程师学院,Ecole d'Ingénieurs Denis-Diderot de l'Université Paris VII,
工业系统工程学院,Ecole d'Ingénieurs en Génie des Systèmes Industriels,
孔岱学院,Ecole de Condé,
马赛美术学院 - 马赛-地中海国立高等艺术教育学院,Ecole des Beaux-Arts de Marseille – INSEAMM,
南特圣纳泽尔美术学院,Ecole des Beaux-Arts de Nantes Saint-Nazaire,
凡尔赛美术学院,Ecole des Beaux Arts de Versailles,
卢浮宫学院,Ecole du Louvre,
埃米尔·科尔学院,Ecole Emile Cohl,
布列塔尼欧洲高等艺术学院,Ecole Européenne Supérieure d'Art de Bretagne,
欧洲高等图像学院,Ecole Européenne Supérieure de l'Image,
法国酒店与旅游学院,Ecole Française d'Hôtesses et de Tourisme,
高等艺术与技术学院,Ecole Hourdé-ESAT: Ecole Supérieure des Arts et Techniques,
视觉设计与传达学院,Ecole Intuit.Lab Design et Communication Visuelle,
Fructidor媒体艺术学院,Ecole Média Art Fructidor,
布尔日国立高等美术学院,Ecole National Supérieure d'Art de Bourges,
洛林大学梅斯国立工程师学院,Ecole Nationale d'Ingénieurs de Metz de l'Université de Lorraine,
君士坦丁国家理工学院,Ecole Nationale Polytechnique de Constantine,
克莱蒙费朗国立高等建筑学院,Ecole Nationale Supérieure d'Architecture de Clermont-Ferrand,
巴黎贝尔维尔国立高等建筑学院,Ecole Nationale Supérieure d'Architecture de Paris-Belleville,
巴黎拉维莱特国立高等建筑学院,Ecole Nationale Supérieure d'Architecture de Paris la Villette,
巴黎国立高等建筑学院,Ecole Nationale Supérieure d'Architecture de Paris-Val de Seine,
圣太田国立高等建筑学院,Ecole Nationale Supérieure d'Architecture de Saint-Etienne,
里尔国立高等建筑与景观学院,Ecole Nationale Supérieure d'Architecture et de Paysage de Lille,
巴黎塞尔吉国立高等艺术学院,Ecole Nationale Supérieure d'Arts de Paris-Cergy,
国立高等工业与企业计算机学院,Ecole Nationale Supérieure d'Informatique pour l'Industrie et l'Entreprise,
普瓦提埃国立高等机械与航空技术学院,Ecole Nationale Supérieure de Mécanique et d'Aérotechnique de Poitiers,
布列塔尼国立高等先进技术学院,Ecole Nationale Supérieure de Techniques Avancées Bretagne,
里昂国立高等美术学院,Ecole Nationale Supérieure des Beaux-Arts de Lyon,
巴黎国立高等美术学院,Ecole Nationale Supérieure des Beaux-arts de Paris,
南锡高等化工学院,Ecole Nationale Supérieure des Industries Chimiques de Nancy,
巴黎高等音乐师范学院,Ecole Normale de Musique de Paris/Alfred Cortot,
蒙特利尔大学工学院,"École Polytechnique de Montréal, Université de Montréal",
洛桑联邦理工大学,Ecole polytechnique fédérale de Lausanne EPFL,
蓝色海岸大学综合理工学院,Ecole Polytechnique Universitaire de l'Université Côte d'Azur,
艾克斯-马赛大学综合理工学院,Ecole Polytechnique Universitaire de Marseille de l'Université d'Aix-Marseille,
蒙彼利埃大学综合理工学院,Ecole Polytechnique Universitaire de Montpellier,
索邦大学综合理工学院,Ecole Polytechnique Universitaire de Sorbonne Université,
计算机与先进技术学院,Ecole pour l'Informatique et les Techniques Avancées,
高等研究实践学院,Ecole Pratique des Hautes Etudes,
昂热高等计算机与生产技术学院,Ecole Supérieure Angevine d'Informatique et de Productique,
艾克斯-普罗旺斯高等艺术学院,Ecole Supérieure d'Art d'Aix-en-Provence,
阿维尼翁高等艺术学院,Ecole Supérieure d'Art d'Avignon,
安纳西高等艺术学院,Ecole Supérieure d'Art de l'Agglomération d'Annecy,
洛林高等艺术学院,Ecole Supérieure d'Art de Lorraine,
比利牛斯山波城-塔尔博高等艺术学院,Ecole Supérieure d'Art des Pyrénées Pau Tarbes,
北加莱海峡敦刻尔克图尔宽高等艺术学院,Ecole Supérieure d'Art du Nord-Pas de Calais/Dunkerque-Tourcoing,
康布雷高等艺术与传播学院,Ecole Supérieure d'Art et de Communication-Cambrai,
亚眠高等艺术与设计学院,Ecole Supérieure d'Art et de Design d'Amiens,
奥尔良高等艺术与设计学院,Ecole Supérieure d'Art et de Design d'Orléans,
兰斯高等艺术与设计学院,Ecole Supérieure d'Art et de Design de Reims,
圣太田高等艺术与设计学院,Ecole Supérieure d'Art et de Design Saint-Etienne,
图尔-昂热-勒芒艺术与设计高等学院,Ecole Supérieure d'Art et de Design TALM,
格勒诺布尔-瓦朗斯高等艺术与设计学院,Ecole Supérieure d'Art et Design Grenoble-Valence,
勒阿弗尔-鲁昂高等艺术与设计学院,Ecole Supérieure d'Art et Design Le Havre-Rouen,
西部高等电子学院,Ecole Supérieure d'Electronique de l'Ouest,
计算机与多媒体工程高等学校,Ecole Supérieure d'Ingénierie Informatique et Multimédia,
亚眠电子与电子技术高等工程师学院,Ecole Supérieure d'Ingénieurs en Electronique et Electrotechnique d'Amiens,
雷昂那多达芬奇高等工程师学院,"Ecole Supérieure d'Ingénieurs Léonard de Vinci, Pôle Univeristaire Léonard de Vinci",
卡昂瑟堡高等艺术与媒体学院,Ecole Supérieure d’Arts et Médias Caen/Cherbourg,
摩纳哥高等造型艺术学院,ECOLE SUPERIEURE D’ARTS PLASTIQUES DE LA VILLE DE MONACO,
高等矿物与有机化学学院,Ecole Supérieure de Chimie Organique et Minérale,
里昂高等化学、物理及电子学院,"Ecole Supérieure de Chimie, Physique et d'Electronique de Lyon",
克莱蒙高等商学院,Ecole supérieure de commerce de Clermont (ESC Clermont),
高等计算机工程学院,Ecole Supérieure de Génie Informatique,
斯特拉斯堡装饰艺术高等学院,Ecole Supérieure des Arts Décoratifs de Strasbourg,
昂热高等美术学院,Ecole Supérieure des Beaux-Arts d'Angers,
波尔多高等美术学院,Ecole Supérieure des Beaux-Arts de Bordeaux,
蒙彼利埃高等美术学院,Ecole Supérieure des Beaux-Arts de Montpellier Agglomération,
尼姆高等美术学院,Ecole Supérieure des Beaux-Arts de Nîmes,
瓦朗谢纳高等美术学院,Ecole Supérieure des Beaux-Arts de Valenciennes,
勒芒高等美术学院,Ecole Supérieure des Beaux-Arts Le Mans,
图尔昂热勒芒高等美术学院,Ecole Supérieure des Beaux-Arts Tours Angers Le Mans,
高等商业管理学院,ECOLE SUPERIEURE DES METIERS DU COMMERCE ET DE LA GESTION,
巴黎中央理工学院,ECP: Ecole Centrale de Paris,
东海岸理工大学,ECPI University,
视觉创意学院,ECV: Ecole de Création Visuelle,
巴黎企业创建者与领导者商业学院,EDC Paris Business School,
埃奇伍德大学,Edgewood College,
艾代克高等商业学院（北方高等商业学院）,EDHEC: Ecole de Hautes Etudes Commerciales du Nord,
伊迪斯科文学院,Edith Cowan College,
埃德蒙学院,Edmonds College,
埃德蒙社区学院,Edmonds Community College,
埃德娜曼利视觉与表演艺术学院,Edna Manley College of the Visual and Performing Arts,
教育文化法学院,Education Culture Law Institute,
埃杜图什大学,Edutus Egyetem,
爱德沃斯学院,Eduvos,
澳大利亚中汇学院,Edvantage Institute Australia,
欧洲互联网应用学院,EEMI:Ecole Européenne des Métiers de l'Internet,
爱沙尼亚艺术学院,Eesti Kunstiakadeemia,
Efet创意工作室,Efet Studio Créa,
法国电子与计算机信息学院,EFREI: Ecole Française d'Electronique et d'Informatique,
巴黎高等社会科学研究学院,EHESS: Ecole des Hautes Etudes en Sciences Sociales Paris,
苏黎世联邦理工大学,Eidgenössische Technische Hochschule Zürich ETHZ,
EIILM大学,EIILM University,
专门学校盈科国际学院,専門学校 EIKA International College,
国际奢侈品市场营销学院,EIML: Ecole Internationale de Marketing du Luxe,
巴黎国际管理学院,EIMP: Ecole Internationale de Management de Paris,
私立国际比较法与经济学院,EIPDCE: Ecole Internationale Privée de Droit Comparé et d'Economie,
巴黎市工程师学院,EIVP: Ecole des Ingénieurs de la Ville de Paris,
布拉迪斯拉发经济大学,Ekonomická univerzita v Bratislave,
萨尔瓦多卡米诺学院,El Camino College,
半岛计算机和行政信息系统学院,El-Gazeera High Institute for Computer and Administrative information Systems,
Elanova教育学院,Elanova Education,
埃尔金社区学院,Elgin Community College,
ELIC商务与公务员专门学校,ELICビジネス&公務員専門学校,
英才教育学院,Elite Education Institute,
精英管理学校,Elite Management School,
伊丽莎白城市州立大学,Elizabeth City State University,
伊丽莎白城学院,Elizabethtown College,
伊拉拉·莫金伊莱扎德大学,"Elizade University, Ilara-Mokin",
埃尔梅齐分子医学研究生院,Elmezzi Graduate School of Molecular Medicine,
埃尔迈拉学院,Elmira College,
依隆大学,Elon University,
里昂商业管理学院,EM Lyon Business School,
诺曼底经济管理学院,EM Normandie: Ecole de Management de Normandie,
爱默生学院,Emerson College,
伊密里欧学院,Emilio Aguinaldo College,
艾米丽卡尔艺术与设计大学,Emily Carr University of Art & Design,
阿联酋酒店管理学院,The Emirates Academy of Hospitality Management,
阿联酋航空大学,Emirates Aviation University,
达芬奇经济管理学院,EMLV: Ecole de Management Léonard de Vinci,
伊曼纽尔学院（马萨诸塞州）,Emmanuel College,
埃默里与亨利学院,Emory and Henry College,
黄帝东洋汉医科大学,Emperor's College of Traditional Oriental Medicine,
恩波利亚州立大学,Emporia State University,
国家行政学院,ENA: Ecole Nationale d'Administration,
